=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.01.12 08:07:15 =~=~=~=~=~=~=~=~=~=~=~=
35.684, -0.40

455.02, -0.57, 0.742

454.81, -0.57, 0.74, -0.27, -29.95, -3.95, -0.55

454.92, -0.58, 0.75, -0.26, -29.95, -5.84, -0.40

455.02, -0.57, 0.70.00, -0.57, 0.74, -0.26, -29.95, -5.86, -0.40

0.11, -0.57, 0.73, -0.26, -29.95, -4.01, -0.27

0.21, -0.57, 0.75, -0.26, -30.20, -3.99, -0.41

0.31, -0.56, 0.75, -0.26, -29.95, -3.94, -0.57

0.42, -0.56, 0.74, -0.26, -29.83, -3.94, -0.56

0.52, -0.56, 0.75, -0.27, -30.08, -4.08, -0.44

0.63, -0.57, 0.75, -0.27, -29.83, -3.92, -0.29

0.73, -0.56, 0.82, -0.26, -29.95, -4.05, -0.09

0.83, -0.59, 0.74, -0.26, -29.95, -3.95, -0.26

0.94, -0.57, 0.74, -0.27, -30.08, -4.19, -0.18

1.04, -0.56, 0.75, -0.27, -29.83, -3.94, -0.11

1.15, -0.57, 0.74, -0.26, -29.83, -3.69, -0.37

1.25, -0.57, 0.82, -0.27, -29.71, -3.79, -0.58

1.36, -0.57, 0.74, -0.28, -29.95, -3.92, -0.24

1.46, -0.57, 0.74, -0.27, -29.95, -5.83, -0.47

1.56, -0.57, 0.75, -0.26, -29.71, -3.93, -0.34

1.67, -0.45, 0.86, -0.26, -29.83, 4.63, -73.41

1.77, -0.89, 0.35, -0.17, -29.59, 53.76, -111.22

1.88, -0.89, 0.85, -0.01, -29.95, -46.98, -130.95

1.98, -1.23, 0.61, 0.57, -30.08, -105.42, -125.18

2.09, -0.94, 0.08, 0.49, -29.95, -136.51, -104.60

2.19, -0.79, 0.11, 0.45, -30.08, -171.40, -249.90

2.29, -0.03, -0.39, 0.75, -29.71, -237.99, -139.60

2.40, 1.39, -1.89, -0.18, -32.27, -250.03, -63.73

2.50, 0.15, -0.80, 0.34, -29.95, -92.40, -105.89

2.61, -0.54, -1.40, -0.13, -29.83, 7.64, -244.27

2.71, -1.48, -0.93, 0.61, -29.59, -50.26, -133.77

2.82, -0.54, -0.51, 0.62, -29.71, 18.79, -249.90

2.92, 0.18, -0.38, 0.74, -29.71, 144.27, -173.64

3.03, 0.78, 0.08, 0.62, -29.83, 2.06, 18.60

3.13, 0.09, -0.15, 0.73, -29.95, 24.14, -40.87

3.23, 0.09, -0.03, 0.96, -29.95, 12.54, 63.02

3.34, 0.02, -0.04, 0.94, -29.95, -19.85, -13.27

3.44, -0.07, -0.16, 0.99, -29.71, -37.40, -2.26

3.55, 0.15, -0.31, 0.61, -29.95, -55.01, 205.24

3.65, 0.21, -0.39, 0.81, -29.95, -179.62, 157.36

3.76, 0.21, -0.54, 0.71, -29.83, 41.99, 88.95

3.86, 0.24, -0.55, 0.70, -29.83, 85.24, 116.59

3.96, -0.07, -0.31, 0.83, -29.95, 71.40, 135.00

4.07, -0.14, -0.28, 0.85, -29.71, -38.49, 4.16

4.17, -0.13, -0.42, 0.98, -29.95, -135.95, -137.33

4.28, 0.03, -0.17, 0.85, -29.83, 43.96, -49.93

4.38, 0.21, -0.18, 0.69, -29.83, 91.90, -48.82

4.49, -1.76, -1.04, 0.85, -29.59, -122.65, -249.90

4.59, 0.46, 0.07, 0.73, -29.71, 94.70, -18.66

4.70, 0.15, -0.16, 0.61, -29.71, 29.42, 37.50

4.80, 0.15, 0.07, 0.96, -29.71, 94.31, 72.75

4.90, -0.07, -0.05, 1.08, -29.71, 25.62, 42.40

5.01, 0.11, 0.22, 0.86, -29.95, -24.32, 16.44

5.11, -0.01, -0.01, 0.97, -29.71, -142.60, -36.23

5.22, 0.18, -0.39, 0.84, -29.59, -119.15, -5.02

5.32, 0.25, -0.43, 0.83, -29.47, -32.40, -14.60

5.43, 0.34, -0.15, 0.85, -29.47, 22.50, 62.41

5.53, 0.34, 0.07, 0.86, -29.71, 8.85, 80.59

5.63, -0.01, -0.02, 1.10, -29.71, -30.37, 32.31

5.74, 0.12, -0.01, 0.95, -29.71, -5.80, -11.89

5.84, 0.06, -0.02, 1.00, -29.83, -11.10, -6.23

5.95, 0.08, -0.14, 0.97, -29.59, -11.06, -1.56

6.05, 0.06, -0.01, 0.87, -29.59, -12.74, -4.21

6.16, -0.07, -0.04, 1.12, -29.59, 3.90, 4.95

6.26, 0.14, -0.03, 0.99, -29.71, -2.34, 1.44

6.36, 0.09, -0.05, 0.96, -29.47, 0.32, 6.72

6.47, 0.34, 0.07, 1.09, -29.59, -29.26, 69.99

6.57, -0.35, 0.37, -1.63, -29.59, -250.03, 248.41

6.68, -1.26, -0.05, 0.09, -29.22, 146.66, 92.48

6.78, -1.01, 0.20, 0.11, -29.59, -36.67, -73.27

6.89, -0.81, 0.32, 0.08, -29.59, -44.33, -7.19

6.99, -0.92, 0.35, 0.36, -29.59, -37.05, 9.22

7.09, -0.79, 0.24, 0.20, -29.83, -35.75, 4.75

7.20, -0.84, 0.12, 0.20, -29.59, -95.13, -13.50

7.30, -0.95, -0.01, 0.36, -29.59, -100.21, 56.90

7.41, -0.84, 0.09, -0.29, -29.47, 71.60, 100.79

7.51, -0.98, 0.25, -0.04, -29.71, -43.00, 80.00

7.61, -0.85, -0.43, -0.78, -29.47, -63.00, 30.45

7.72, -1.01, 0.32, -0.05, -29.59, -46.79, -88.73

7.82, -0.84, -0.04, 0.12, -29.59, -31.00, -129.68

7.93, -1.17, -0.17, 0.32, -29.22, 28.37, -249.90

8.03, -0.35, -0.16, 0.69, -29.47, 22.43, -249.90

8.14, 0.68, 0.07, 0.22, -29.10, -13.60, -249.90

8.24, 1.47, -0.02, -0.15, -28.98, -4.44, -208.77

8.35, 1.09, -0.13, -0.18, -28.98, 0.98, -106.55

8.45, 1.25, -0.15, -0.30, -28.61, 3.75, 1.90

8.55, 1.06, -0.13, -0.26, -28.73, 2.89, 31.88

8.66, 1.03, -0.26, -0.13, -28.37, 6.73, 123.99

8.76, 0.90, -0.14, 0.20, -28.37, 25.97, 248.41

8.87, 1.31, -0.17, 0.62, -28.24, 153.98, 248.41

8.97, 0.55, 0.07, 0.71, -28.37, 125.25, 160.04

9.07, -0.19, 0.62, 1.07, -28.24, 66.63, 193.98

9.18, -0.20, -0.03, 0.85, -28.37, 92.24, 248.41

9.28, -0.83, 0.08, 0.32, -28.49, 70.32, 248.41

9.39, -1.15, 1.09, -1.94, -28.37, 100.83, 248.41

9.49, -0.47, -0.40, -0.67, -28.24, -35.66, -60.82

9.60, -0.51, -0.18, -0.76, -28.12, 72.48, -110.73

9.70, -0.73, -0.18, -0.64, -28.00, -9.95, -75.78

9.81, -0.82, -0.13, -0.51, -28.24, -23.65, -73.44

9.91, -0.85, -0.05, -0.28, -28.12, -48.52, -165.62

10.01, -0.91, -0.03, -0.31, -28.00, -4.71, -0.19

10.12, -1.13, -0.00, -0.13, -28.24, -53.98, -72.31

10.22, -0.88, 0.10, 0.34, -28.00, -51.21, -123.07

10.33, -0.53, -0.17, 0.08, -28.12, -128.99, -72.27

10.43, -0.95, 0.07, 0.44, -28.12, -48.92, -139.40

10.54, -1.26, -0.03, 0.84, -28.24, 7.95, -249.90

10.64, -0.13, -0.05, 0.62, -28.00, -36.24, -196.80

10.74, -0.16, -0.26, 0.97, -28.00, -50.20, -198.27

10.85, 0.19, -0.29, 0.98, -27.88, -0.26, -182.33

10.95, 0.74, -0.43, 0.60, -27.76, 10.80, -50.88

11.06, 0.15, -0.30, 0.70, -27.88, 55.40, 136.31

11.16, 0.16, -0.14, 1.00, -28.00, 16.88, 61.73

11.27, 0.06, 0.11, 0.82, -27.88, 13.69, 25.73

11.37, -0.01, 0.12, 0.99, -27.76, -17.20, 23.88

11.48, -0.16, 0.07, 1.45, -28.24, -6.24, -57.23

11.58, 0.25, 0.25, 0.82, -27.88, -25.63, -249.90

11.68, 0.21, -0.15, 0.33, -27.63, 31.55, -48.15

11.79, 0.37, -0.02, 0.50, -28.00, -21.41, 98.82

11.89, 0.12, -0.02, 0.97, -27.88, -14.82, 120.99

12.00, -0.32, 0.11, 1.07, -27.51, -23.57, 55.71

12.10, 0.18, -0.13, 0.84, -27.63, -23.74, 20.70

12.21, -0.11, -0.18, 1.10, -27.76, 1.98, 67.25

12.31, -0.29, -0.18, 0.99, -27.39, 10.68, -4.04

12.41, -0.13, -0.14, 0.98, -27.76, 15.83, -75.24

12.52, 0.03, -0.01, 0.84, -29.22, 18.78, -59.05

12.62, 0.12, -0.03, 0.94, -29.10, -0.85, -41.17

12.73, 0.08, 0.07, 0.87, -27.39, -3.24, -12.53

12.83, 0.25, -0.05, 0.82, -28.98, -22.11, -58.71

12.94, 0.34, -0.13, 0.86, -29.22, 1.58, -4.82

13.04, 0.22, -0.00, 0.84, -28.98, 13.82, 41.06

13.15, 0.15, -0.16, 1.07, -28.85, -11.77, 17.61

13.25, 0.25, -0.01, 1.09, -28.85, -7.09, 3.67

13.35, 0.06, -0.02, 0.82, -28.85, -0.55, 3.31

13.46, 0.18, 0.07, 0.71, -28.73, -8.05, 6.62

13.56, 0.37, -0.17, 0.70, -28.73, 25.95, 33.22

13.67, 0.06, 0.10, 0.83, -28.73, -0.31, 42.08

13.77, -0.07, -0.03, 1.10, -28.37, -28.31, 59.74

13.88, 0.18, -0.13, 0.83, -26.29, -50.08, 20.52

13.98, -0.03, -0.15, 1.10, -28.49, -30.27, -21.23

14.08, -0.13, -0.51, 1.47, -26.05, -31.16, -39.60

14.19, 0.09, -0.53, 1.21, -28.37, 88.56, -108.01

14.29, 0.23, 0.24, -0.26, -26.05, -13.21, -41.98

14.40, -0.01, -0.01, -0.02, -0.89, -1.85, -1.73

14.50, -0.01, -0.01, -0.02, -0.89, -1.85, -1.73

14.60, -0.01, -0.01, -0.02, -0.89, -1.85, -1.73

14.70, -0.01, -0.01, -0.02, -0.89, -1.85, -1.73

14.81, -0.01, -0.01, -0.02, -0.89, -1.85, -1.73

14.91, -0.01, -0.01, -0.02, -0.89, -1.85, -1.73

15.01, -0.01, -0.01, -0.02, -0.89, -1.85, -1.73

15.12, -0.01, -0.01, -0.02, -0.89, -1.85, -1.73

15.22, -0.01, -0.01, -0.02, -0.89, -1.85, -1.73

15.32, -0.01, -0.01, -0.02, -0.89, -1.85, -1.73

15.43, -0.01, -0.01, -0.02, -0.89, -1.85, -1.73

15.53, -0.01, -0.01, -0.02, -0.89, -1.85, -1.73

15.63, -0.01, -0.01, -0.02, -0.89, -1.85, -1.73

